Resume Point,User ID,Tag
"Designing and constructing an RC aircraft implementing concepts of aviation such as lift, drag, and thrust. Learning about BLDC motors, ESCs, Transmitters, Receivers, and LiPo Batteries and designing a circuit to operate the plane and the control surfaces. Using the transmitter-receiver network to send PWM signals through different channels in order to change the aileron, elevator, and rudder orientations to change the Roll, Pitch, and Yaw motions of the aircraft.",6,"[core engineering, electronics]"
"Conducted research in Quantum Physics and Applications, Thermodynamics, Waves and Oscillations, Classical Mechanics, Data Analysis and Interpretation, Introduction to Engg. Physics, Amplifiers and Transistors. Also, studied Computer Science, CS101 (C programming language course of IIT Bombay), Calculus, Linear Algebra, Differential Equations, Complex Analysis, Physical, Organic and Inorganic Chemistry, Biology, Literature, Management, Economics.",6,"[data science/machine learning, software development, core engineering]"
"Promoted fashion skills among UG and PG students as part of the StyleUp Club, Institute Cultural Council. Ideated and organized ShowStopper-IIT Bombay's Biggest Fashion Showcase, conducting a series of workshops and seminars by eminent professional fashion designers and models attended by 400+ students. Fulfilled publicity requirements of 30+ events and workshops of cultural organizations across many genres. Edited the club introduction video with other editors played in LTPCSA, viewed by 400+ audience members in the hall. Led and mentored a team of 10+ people for Glamour Grande Fashion show.",6,"[marketing, business, web development]"
"Proficient in softwares like LATEX, Git, Adobe Photoshop, CapCut, Adobe Premiere Pro, LTSpice, Canva, AutoCAD. Proficient in languages like C/C++, Python (NumPy, Pandas, Matplotlib, SciPy), JavaScript, HTML, CSS.",6,"[software development, data science/machine learning, web development]"
"Led a subdivision of 8 member team, while facilitating information transfer with other subdivisions. Implemented a task-based vision model switching, increasing the accuracy of task execution by 30%. Developed a Unity game engine-based simulator fully integrated with ROS, capable of emulating various sensors and actuators and creating a real competition environment for autonomous runs.",7,"[software development, data science/machine learning, core engineering]"
"Automated the USV at the INS Shivaji Base, guiding them with sensor requirements and interfacing. Interfaced a Pixhawk with a RaspberryPi, to achieve way-point navigation on the vehicle using GPS. Innovated a field of view based navigation algorithm for object avoidance using YOLOv5.",7,"[software development, data science/machine learning, core engineering]"
Analyzed a paper on ARIMA Model (AutoRegressive Integrated Moving Average) and implemented it using Python to predict the prices of company stocks or the revenues or the sales of the same.,7,"[data science/machine learning, software development]"
Co-mentoring a team of 18 to create swarm simulation environment using Unity Game Engine. Mentoring to implement multi-agent control algorithm from papers and test them out in the simulator. Developed testing and efficiency monitoring metrics that are integrated with the simulator.,7,"[software development, data science/machine learning, core engineering]"
"Successfully implemented a rover in a team of 3 that is capable of maneuvering over terrestrial terrain of farm lands and sprayed pesticides on plants of varying height, by identifying diseases using image processing. Used various Computer Vision techniques including training of neural networks, and image processing. Worked with micro-controllers to control different components including differential drive and pumps.",7,"[software development, data science/machine learning, core engineering]"
Implemented a RISC processor using a Pipeline Architecture on VHDL with a total of 26 instructions. Designed and Implemented different stages and registers of the multi-stage pipelined processor. Incorporated Hazard Control Unit and Data Forwarding Unit as extra features to decrease latency.,7,[core engineering]
"Implemented a bubble shooter game with points, lives, timer, and interactive UI in C++ and STL. Explored concepts of Object Oriented Programming and Modularity by use of classes and inheritance. Added multiple features to the game including interactive GUI, level-dependent difficulties, and ensured smooth functionality of the game with the increase in game environment variables.",7,[software development]
"Assisted professors in conducting research on various economic topics such as monetary policy, international trade, and econometrics. Collected and analyzed data using statistical software packages such as Stata and R. Contributed to the development of research papers and presentations.",8,"[data science/machine learning, software development]"
Worked on a project to develop an AI-powered chatbot for group outing planning. Built a real-time chatbot integrated with the Discord platform that interacts with users via direct messages and clickable multiple-choice questions. Utilized natural language processing techniques to analyze user inputs and suggest personalized recommendations for restaurants and activities.,8,"[software development, data science/machine learning]"
"Simulated Monte Carlo equations and backtested option pricing models such as Black-Scholes and Binomial Model on historical Nifty50 data. Analyzed changes in option prices and calculated risk measures such as delta, gamma, and vega. Observed variations in option Greeks to evaluate model performance.",8,"[finance, data science/machine learning]"
Investigated exploding and vanishing gradients problems in deep neural networks. Studied ResNet architecture and applied skip connections to improve model accuracy. Reviewed attention mechanisms in transformers for parallel computing and translation quality improvement.,8,"[data science/machine learning, software development]"
Designed and built a model of a forklifting vehicle using AutoCAD Fusion 360. Calibrated IR sensors to create a line follower using an Arduino UNO. Utilized L293D motor drivers to operate servomotors and Bo motors for forklift movements.,8,"[software development, data science/machine learning, core engineering]"
"Reviewed arrays, vectors, hash tables, and search techniques such as linear and binary search. Analyzed computational complexity of algorithms and employed greedy algorithms and dynamic programming techniques.",8,"[software development, data science/machine learning, core engineering]"
Conducted a comprehensive analysis of organizational design and generic strategies of Infosys. Developed a detailed SWOT report and combined it with a TOWS analysis to assess company strategies.,8,"[business, data science/machine learning]"
"Framed a five-year financial strategy for a startup, dividing investments into satellite and core categories. Employed fundamental analysis techniques to evaluate financial ratios for Ultratech Cement and predicted finances for the next two quarters.",8,"[finance, business]"
"Brainstormed a business model using blockchain technology to link healthcare stakeholders, overcoming false insurance claims and syncing patient records. Created a BMC highlighting key features and pitched the idea.",8,"[business, software development, data science/machine learning]"
"Participated in a 3-member team that analyzed HDFC Bank's financials and presented findings to a panel of judges. Conducted macroeconomic analysis, SWOT analysis, and fundamental analysis using financial statements and ratios.",8,"[finance, business]"
"Developed a centralized website for 10+ web portals using ReactJS and Django, streamlining registrations and automating population of student data. Implemented secure authentication and integrated API endpoints for seamless user experience.",9,"[web development, software development]"
"Worked on a full-stack responsive web marketplace similar to OLX for the institute, allowing users to buy/sell old items. Developed using Django, REST-framework, ReactJS, and Bootstrap.",9,"[web development, software development]"
"Mastered data structures and algorithms, including stacks, queues, trees, graphs, and algorithms for sorting, greedy, STL, and DP. Created a map navigator code using Dijkstra's algorithm to find the shortest path/time between nodes.",9,"[software development, data science/machine learning]"
"Trained a model using Linear, Lasso, and Ridge Regression, Decision Tree Regressor, and RF Regressor using Scikit-learn. Evaluated the model using metrics such as Mean Squared Error (MSE) and R2 score, achieving 76% accuracy.",9,"[data science/machine learning, software development]"
"Researched efficient algorithms and approaches in reinforcement learning applied to stock trading and risk management. Successfully implemented Deep Q-Network on data, increasing total profits by 250% over 100 epochs.",9,"[data science/machine learning, software development, finance]"
"Developed a 2-player game using PyGame, implementing player-controlled spaceships and bullets for engaging gameplay. Coded game mechanics, including players' movements, bullet firing, collision detection, and health management.",9,[software development]
"Developed the Alumination website frontend, providing a seamless platform for organizing a three-day event. Resulted in 2000+ registrations and a 150% increase in registrations for 20+ events conducted during Alumination.",9,"[web development, software development]"
"Programmed a line follower bot using Arduino, DC & Servo motors, and IR & UV sensors in a 5-membered team. Implemented additional features of pick and place obstacles on the way and used L298N motor drivers for control.",9,"[core engineering, software development]"
"Created a pitch deck for Stripe payments gateway using Canva in a 5-membered team and presented an elevator pitch describing market demand, key features and benefits, target customer segments, revenue forecasts, and marketing strategy.",9,"[marketing, business]"
